School ID,School,Total,Year,Area,Network
610076,Bernhard Moos Elementary School,434,2019,,
610039,Carl von Linne Elementary School,662,2019,,
610148,Cesar E Chavez Multicultural Academic Center ES,932,2019,,
610366,Charles H Wacker Elementary School,265,2019,,
609996,Charles N Holden Elementary School,474,2019,,
609833,Charles P Caldwell Academy of Math & Science ES,269,2019,,
609875,Charles R Darwin Elementary School,537,2019,,
609753,Chicago High School for Agricultural Sciences,768,2019,,
609899,Christian Ebinger Elementary School,864,2019,,
609863,Christopher Columbus Elementary School,264,2019,,
609870,Daniel J Corkery Elementary School,468,2019,,
609835,Daniel R Cameron Elementary School,763,2019,,
610402,DeVry University Advantage Academy HS,173,2019,,
610533,Dr Jorge Prieto Math and Science,953,2019,,
609852,Eliza Chappell Elementary School,552,2019,,
609973,Emiliano Zapata Elementary Academy,718,2019,,
610203,Enrico Tonti Elementary School,967,2019,,
610541,Federico Garcia Lorca Elementary School,761,2019,,
610120,Ferdinand Peck Elementary School,936,2019,,
609939,Frank L Gillespie Elementary School,465,2019,,
609958,Frank W Gunsaulus Elementary Scholastic Academy,805,2019,,
609926,Franklin Elementary Fine Arts Center,363,2019,,
610062,George B McClellan Elementary School,340,2019,,
609849,George F Cassell Elementary School,381,2019,,
609795,George Rogers Clark Elementary School,219,2019,,
609985,Helen M Hefferan Elementary School,358,2019,,
610040,Henry D Lloyd Elementary School,985,2019,,
610390,Hyman G Rickover Naval Academy High School,458,2019,,
610384,Infinity Math Science and Technology High School,408,2019,,
610213,James Wadsworth Elementary School,539,2019,,
610217,James Ward Elementary School,555,2019,,
609772,Jane Addams Elementary School,678,2019,,
610173,Jesse Sherwood Elementary School,290,2019,,
609789,John Barry Elementary School,614,2019,,
609829,John C Burroughs Elementary School,445,2019,,
609898,John F Eberhart Elementary School,1278,2019,,
610026,John H Kinzie Elementary School,687,2019,,
610242,Joseph Brennemann Elementary School,414,2019,,
610015,Joseph Jungman Elementary School,283,2019,,
610129,Josiah Pickard Elementary School,442,2019,,
610520,LaSalle II Magnet Elementary School,586,2019,,
610024,Lazaro Cardenas Elementary School,1156,2019,,
610298,Lenart Elementary Regional Gifted Center,267,2019,,
609738,Lincoln Park High School,2105,2019,,
609834,Little Village Elementary School,748,2019,,
609773,Louis A Agassiz Elementary School,500,2019,,
610117,Louis Pasteur Elementary School,624,2019,,
609817,Lyman A Budlong Elementary School,720,2019,,
610197,Mancel Talcott Elementary School,472,2019,,
610544,Mariano Azuela Elementary School,889,2019,,
609780,Marine Leadership Academy at Ames,849,2019,,
610081,Mark Sheridan Math & Science Academy,561,2019,,
610177,Mark Skinner Elementary School,1217,2019,,
610312,Mary E McDowell Elementary School,154,2019,,
610082,Mount Greenwood Elementary School,1182,2019,,
609749,Northside College Preparatory High School,1091,2019,,
610201,Ole A Thorp Elementary Scholastic Academy,850,2019,,
610386,Peace & Education Coalition HS,103,2019,,
610147,Philip Rogers Elementary School,746,2019,,
610304,Phoenix Military Academy High School,547,2019,,
609842,Rachel Carson Elementary School,1003,2019,,
610141,Ravenswood Elementary School,549,2019,,
609903,Richard Edwards Elementary School,1461,2019,,
610291,Richard Henry Lee Elementary School,810,2019,,
609695,Roald Amundsen High School,1291,2019,,
610027,Rudyard Kipling Elementary School,286,2019,,
610250,Rueben Salazar Elementary Bilingual Center,324,2019,,
610155,Sauganash Elementary School,627,2019,,
609990,South Loop Elementary School,798,2019,,
609745,Southside Occupational Academy High School,304,2019,,
610548,STEM Magnet Academy,434,2019,,
610249,Talman Elementary School,389,2019,,
610504,Velma F Thomas Early Childhood Center,165,2019,,
609944,Virgil Grissom Elementary School,330,2019,,
610363,Walt Disney Magnet Elementary School,1521,2019,,
610587,Walter Henri Dyett High School for the Arts,484,2019,,
609680,Walter Payton College Preparatory High School,1153,2019,,
610179,Washington D Smyser Elementary School,866,2019,,
610542,West Ridge Elementary School,808,2019,,
609755,Whitney M Young Magnet High School,2211,2019,,
609945,William C. Goudy Technology Academy,701,2019,,
609678,William Jones College Preparatory High School,1916,2019,,
400009,Academy for Global Citizenship Charter School,468,2019,,
400081,Acero Charter Schools - Bartolomé de las Casas,264,2019,,
400153,Acero Charter Schools - Brighton Park,559,2019,,
400082,Acero Charter Schools - Carlos Fuentes,542,2019,,
400114,Acero Charter Schools - Esmeralda Santiago,276,2019,,
400112,Acero Charter Schools - Jovita Idar,560,2019,,
400085,Acero Charter Schools - Major Hector P. Garcia MD,625,2019,,
400083,Acero Charter Schools - Octavio Paz Campus,319,2019,,
400089,Acero Charter Schools - Officer Donald J. Marquez,570,2019,,
400080,Acero Charter Schools - PFC Omar E. Torres,610,2019,,
400120,Acero Charter Schools - Roberto Clemente,532,2019,,
400084,Acero Charter Schools - Rufino Tamayo,288,2019,,
400101,Acero Charter Schools - Sandra Cisneros,520,2019,,
400121,Acero Charter Schools - Sor Juana Inés de la Cruz,661,2019,,
400079,Acero Charter Schools - SPC Daniel Zizumbo,626,2019,,
400149,Acero Charter Schools - Victoria Soto,543,2019,,
400011,Alain Locke Charter School,471,2019,,
400060,Asian Human Services - Passages Charter School,427,2019,,
400172,ASPIRA Business and Finance,645,2019,,
400013,ASPIRA Charter School - Early College High School,346,2019,,
400017,ASPIRA Charter School - Haugan Middle School,309,2019,,
400115,Catalyst - Maria Charter School,1101,2019,,
400021,Catalyst Elementary Charter School - Circle Rock,519,2019,,
400161,Chicago Collegiate Charter School,386,2019,,
400035,Chicago Math and Science Academy Charter School,604,2019,,
400036,Chicago Virtual Charter School,682,2019,,
400159,Christopher House Charter School,383,2019,,
400023,CICS - Avalon/South Shore,449,2019,,
400024,CICS - Basil,711,2019,,
400025,CICS - Bucktown,675,2019,,
400113,CICS - ChicagoQuest North,236,2019,,
400027,CICS - Irving Park,557,2019,,
400092,CICS - Lloyd Bond,367,2019,,
400033,CICS - Longwood,1288,2019,,
400026,CICS - Loomis Primary,547,2019,,
