Area,Unit,School ID,School,Total,Year
51,1120,609683,Alternative Safe Schools HS,250,2007
51,1125,610388,LINC Alt HS,276,2007
51,1123,610386,Peace & Education Alt HS,89,2007
52,7950,400010,ACE Tech Chtr HS,377,2007
52,1720,400008,ACT Chtr HS,308,2007
52,3500,400017,ASPIRA Chrtr - Haugan,506,2007
52,7800,400015,ASPIRA Chrtr - Ramirez,349,2007
52,3990,400019,Bronzeville LH Chtr,320,2007
52,4370,400020,Catalyst Charter,120,2007
52,6530,400037,Chgo Child Choir Chtr,197,2007
52,7130,400024,Chgo Intl Chrt - Basil,736,2007
52,4910,400025,Chgo Intl Chrt - Bucktown,641,2007
52,4911,400032,Chgo Intl Chrt - Ellison,158,2007
52,2420,400033,Chgo Intl Chrt - Longwood,"1,465",2007
52,7740,400034,Chgo Intl Chrt - Northtown,702,2007
52,4220,400028,Chgo Intl Chrt - Prairie,404,2007
52,6580,400023,Chgo Intl Chrt - South Shore,322,2007
52,7120,400030,Chgo Intl Chrt - W. Belden,496,2007
52,2290,400029,Chgo Intl Chrt - Washington,454,2007
52,3180,400031,Chgo Intl Chrt - Wrightwood,566,2007
52,7940,400035,Chgo Math/Sci Chtr,374,2007
52,7700,400036,Chicago Virtual Chtr,187,2007
52,5780,400039,Erie Charter,127,2007
52,5840,400041,Galapagos Charter,242,2007
52,7810,400044,KIPP Ascend Chrtr,305,2007
52,6770,400046,LEARN Charter,350,2007
52,5870,400049,Legacy Charter,214,2007
52,4730,400011,"Locke, A. Charter",485,2007
52,7920,400050,Namaste Charter,194,2007
52,1930,400051,Noble St. Chrtr HS,468,2007
52,1931,400054,Noble St. Chrtr HS - Prtizker,145,2007
52,1932,400055,Noble St. Chrtr HS - Rauner,146,2007
52,1105,400058,North Lawndale Chrtr,401,2007
52,6850,400060,Passages Chrtr,233,2007
52,1961,400061,Perspectives Chrtr - Calumet,279,2007
52,1960,400064,Perspectives Chrtr HS,349,2007
52,6700,400071,Providence-Englewood Chrtr,196,2007
52,4520,400072,Shabazz Charter,303,2007
52,4140,400073,Shabazz Chrtr - DuSable,185,2007
52,5130,400074,Shabazz Chrtr - Sizmore,166,2007
52,2600,400075,U Of C Chrt - Donoghue,250,2007
52,3060,400076,U Of C Chrt - Nth Kenwood,435,2007
52,3061,400077,U Of Chicago Chtr HS,159,2007
52,3342,400082,Uno Charter - Fuentes,477,2007
52,3341,400081,Uno Charter - Las Casas,247,2007
52,5810,400083,Uno Charter - Paz,789,2007
52,3340,400084,Uno Charter - Tamayo,266,2007
52,7030,400086,Urban Prep Chtr HS,166,2007
52,2490,400087,Yng Women Ldrshp Chrt,343,2007
52,1121,609686,Youth Connctns Chrtr,"2,818",2007
